Symbol,HOLDINGS,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
NOTV,Inotiv Inc,<0.01%,Life Sciences Tools & Services,US,---,"$1,289,047.10 ","888,998"
WYY,WidePoint Corp,<0.01%,IT Consulting & Other Services,US,---,"$1,284,978.03 ","259,854"
BHM,Bluerock Homes Trust Inc,<0.01%,Single-Family Residential REITs,US,---,"$1,281,189.12 ","106,944"
BSBK,Bogota Financial Corp,<0.01%,Regional Banks,US,---,"$1,276,352.09 ","138,283"
AFBI,Affinity Bancshares Inc,<0.01%,Regional Banks,US,---,"$1,271,387.84 ","64,472"
SVCO,Silvaco Group Inc,<0.01%,Systems Software,US,---,"$1,229,114.13 ","227,193"
IMA,ImageneBio Inc,<0.01%,Pharmaceuticals,US,---,"$1,220,283.20 ","149,728"
ACTU,Actuate Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,219,319.40 ","182,260"
UHG,United Homes Group Inc,<0.01%,Homebuilding,US,---,"$1,219,229.69 ","295,213"
PRTS,CarParts.com Inc,<0.01%,Automotive Retail,US,---,"$1,203,952.74 ","1,693,085"
NP,Neptune Insurance Holdings Inc,<0.01%,---,US,---,"$1,199,040.00 ","59,952"
BEEM,Beam Global,<0.01%,Electrical Components & Equipment,US,---,"$1,197,380.16 ","415,757"
BRCB,Black Rock Coffee Bar Inc,<0.01%,Restaurants,US,---,"$1,191,616.12 ","49,942"
CTSO,CytoSorbents Corp,<0.01%,Health Care Equipment,US,---,"$1,190,382.48 ","1,274,363"
GRCE,Grace Therapeutics Inc,<0.01%,Pharmaceuticals,US,---,"$1,189,039.50 ","400,350"
IPWR,Ideal Power Inc,<0.01%,Electrical Components & Equipment,US,---,"$1,182,819.59 ","235,153"
SURG,SurgePays Inc,<0.01%,Wireless Telecommunication Services,US,---,"$1,175,791.11 ","418,431"
STRR,Star Equity Holdings Inc,<0.01%,Human Resource & Employment Services,US,---,"$1,171,825.60 ","105,380"
ICCC,ImmuCell Corp,<0.01%,Biotechnology,US,---,"$1,171,568.19 ","181,077"
TYGO,Tigo Energy Inc,<0.01%,Electrical Components & Equipment,US,---,"$1,170,802.50 ","468,321"
MCHX,Marchex Inc,<0.01%,Advertising,US,---,"$1,170,482.79 ","653,901"
WOLF,Wolfspeed Inc,<0.01%,Semiconductors,US,---,"$1,169,339.60 ","40,886"
AUBN,Auburn National BanCorp Inc,<0.01%,Regional Banks,US,---,"$1,169,227.19 ","43,129"
SKLZ,Skillz Inc,<0.01%,Interactive Home Entertainment,US,---,"$1,166,400.00 ","145,800"
PNRG,PrimeEnergy Resources Corp,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,163,029.89 ","6,963"
OCC,Optical Cable Corp,<0.01%,Communications Equipment,US,---,"$1,155,906.36 ","142,353"
ACCS,ACCESS Newswire Inc,<0.01%,Application Software,US,---,"$1,155,470.78 ","107,686"
PROP,Prairie Operating Co,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,150,033.57 ","579,362"
EQ,Equillium Inc,<0.01%,Biotechnology,US,---,"$1,143,641.07 ","799,749"
TELO,Telomir Pharmaceuticals Inc,<0.01%,Pharmaceuticals,US,---,"$1,133,417.12 ","815,408"
KTCC,Key Tronic Corp,<0.01%,Electronic Manufacturing Services,US,---,"$1,124,649.96 ","315,028"
FORA,Forian Inc,<0.01%,Health Care Technology,US,---,"$1,118,025.00 ","496,900"
